Id,Score
83356,5
474164,5
68926,5
147891,3
222671,4
115665,1
241581,5
237947,5
170267,3
408777,5
532766,1
264750,5
527116,1
10026,5
16516,2
414475,5
529335,5
228493,5
414064,5
296077,1
537181,5
75760,2
189102,5
225223,5
137076,5
247930,3
337697,4
469047,5
335197,5
58800,5
390523,5
383409,5
404646,5
11893,5
208879,2
485397,4
176180,5
546612,5
247636,5
177034,5
160235,5
57636,5
473127,5
240525,1
308382,5
302759,1
107552,5
184188,5
233383,4
246262,2
64612,5
311177,5
159968,5
503757,5
95625,5
440347,5
268814,4
138399,5
526012,5
367989,5
332894,5
272795,5
429124,3
203151,5
257982,5
328785,5
388764,5
222223,5
448923,5
442784,1
140339,4
13506,4
450716,5
34143,5
239418,5
482529,4
152979,3
539239,3
284105,4
260207,5
519068,5
304024,5
202544,5
223872,5
54513,3
85742,4
44511,4
297551,1
46490,5
396305,5
375324,1
207012,5
496327,5
368412,5
177486,3
539012,4
253949,5
3562,1
219122,2
217600,5
94372,5
243472,4
453623,3
33233,5
454602,5
426511,5
117336,5
48370,4
290025,2
317085,4
144289,5
223162,1
21583,5
558818,1
147319,5
560651,1
34069,5
392479,5
120609,5
300075,5
60718,5
521875,5
409366,1
73421,1
162434,1
378169,5
76595,4
353890,5
217393,5
42823,2
128351,5
298863,1
232663,5
437337,1
364152,5
269503,5
90245,2
231934,5
307647,5
211313,4
312538,1
7249,5
241930,5
75137,5
125333,5
364870,5
13875,1
32838,5
467163,5
98407,5
26385,5
43529,5
465612,5
564989,5
22626,5
396927,5
144506,1
278970,5
27965,5
174331,5
319864,5
204872,1
221605,5
348842,5
178078,5
339265,3
519694,5
445843,5
59288,5
392811,5
268796,5
453727,5
52487,5
477420,5
549481,5
403547,5
150359,2
253936,4
76298,5
307280,2
47296,5
286827,5
430756,2
401084,5
165393,5
352710,3
171588,1
42448,5
45470,5
347214,4
134978,5
104633,4
221872,5
307389,5
127145,4
216186,5
503712,5
423898,5
3641,5
242172,5
260817,3
506572,5
394567,5
54476,5
387297,5
565030,5
404015,5
565971,5
229489,5
265400,5
176718,5
335332,5
507999,5
487494,5
504383,3
538737,5
346927,5
279071,5
437452,5
558900,5
224569,5
248644,5
505214,5
198454,1
567302,5
221454,5
288755,5
439119,5
415963,4
198281,5
198023,1
440288,2
209977,5
161562,3
564547,5
423998,5
102859,5
112988,5
366499,5
81414,5
472493,3
568076,1
224918,5
281329,5
546835,5
309988,4
279712,5
28888,5
493220,1
342260,2
173720,4
430306,2
372362,4
114559,5
368924,5
98786,5
541818,1
46477,5
214254,5
41548,5
566699,5
120272,5
481612,5
62276,5
546920,5
489267,5
245374,3
494425,5
151688,3
166916,5
165439,5
373248,5
17436,5
166576,5
182213,5
142752,4
459910,5
